"","max_PM2.5","max_O3","max_PM10","Longitude","Latitude","Elevation","Land.Use_AGRICULTURAL","Land.Use_COMMERCIAL","Land.Use_INDUSTRIAL","Location.Setting_RURAL","Location.Setting_SUBURBAN"
"123",2.8,0.045,8,-97.475083,35.614131,355,0,0,0,0,1
"124",0.2,0.034,0,-80.316442,40.747796,211,0,0,0,0,0
"125",1.4,0.043,2,-112.095767,33.503833,343,0,0,0,0,0
"126",1.5,0.023,4,-106.27767,42.8463,1581,0,0,0,0,1
"127",3.4,0.035,4,-117.32554,34.510961,913,0,0,0,0,1
"128",14.2,0.041,15,-117.32554,34.510961,913,0,0,0,0,1
"129",5.3,0.036,13,-117.274063,34.106678,321,0,1,0,0,1
"130",5,0.027,13,-93.299894,37.256137,385,0,0,0,0,1
"131",6,0.035,11,-121.49311,38.56844,8,0,0,0,0,0
"132",17.8,0.042,27,-73.902,40.816,20,0,0,0,0,0
"133",4.4,0.024,14,-95.976537,36.204902,201,0,0,0,0,0
"134",3.1,0.044,5,-116.54101,33.85275,174,0,0,0,0,1
"135",1.8,0.026,2,-96.85535,46.933754,271,1,0,0,0,1
"136",10.7,0.049,26,-118.683685,34.276316,307,0,0,0,0,1
"137",9.4,0.033,18,-121.3621,36.843425,120,0,0,0,1,0
"138",3.5,0.038,5,-94.635605,39.117219,273,0,0,0,0,0
"139",4.3,0.047,12,-107.862471,48.317507,795,1,0,0,1,0
"140",4.4,0.033,6.66666666666667,-74.192892,40.720989,29,0,0,0,0,0
"141",8.9,0.019,21,-88.57251,37.05822,107,0,1,0,0,1
"142",18,0.027,40,-86.114444,39.810833,233,0,0,0,0,1
"143",6.4,0.032,8,-121.126371,36.209286,104,0,0,0,0,0
"144",4.8,0.036,8,-120.6693,35.25651,42,0,1,0,0,0
"145",5.7,0.035,18,-121.84047,39.76168,66,0,1,0,0,1
"146",2.1,0.044,5,-95.973142,41.247486,374,0,0,0,0,1
"147",4.2,0.033,21,-99.763424,38.770081,668,1,0,0,1,0
"148",3,0.044,6,-102.4018,48.64193,681,1,0,0,1,0
"149",9,0.049,7,-119.8284,34.44551,18,0,0,0,0,1
"150",4.85,0.023,11,-101.571583,47.940861,626,1,0,0,1,0
"151",6.7,0.043,15,-81.3625,28.596389,27,0,1,0,0,0
"152",4.2,0.048,36,-103.2995,47.5812,602,1,0,0,1,0
"153",12.8,0.039,28,-115.56306,32.79222,-14,0,1,0,0,0
"154",3,0.022,4,-117.32554,34.510961,913,0,0,0,0,1
"155",8.1,0.033,16.3333333333333,-96.707208,42.751518,352,1,0,0,1,0
"156",17.3,0.062,28,-118.130511,34.669739,742,0,1,0,0,0
"157",21.5,0.012,22,-87.913504,43.060975,209,0,1,0,0,0
"158",7.2,0.048,12,-112.036298,40.496392,1496,0,0,0,0,1
"159",7.95,0.071,16.5,-112.036298,40.496392,1496,0,0,0,0,1
"160",20.4,0.051,13,-86.586362,34.687761,212,0,1,0,0,0
"161",4.03333333333333,0.054,13,-86.114444,39.810833,233,0,0,0,0,1
"162",6.15,0.042,17,-118.683685,34.276316,307,0,0,0,0,1
"163",12.5,0.047,38.5,-107.549444,43.081667,1800,0,0,1,1,0
"164",6.2,0.04,10,-87.913504,43.060975,209,0,1,0,0,0
"165",5.5,0.067,17,-70.748017,43.075371,8,0,0,0,0,0
"166",4.5,0.055,5,-117.32554,34.510961,913,0,0,0,0,1
"167",0.2,0.046,8,-119.643447,36.31567,76,0,0,0,0,1
"168",10.5,0.064,24,-95.973142,41.247486,374,0,0,0,0,1
"169",6.7,0.035,12,-119.77321,36.78538,100,0,1,0,0,0
"170",8,0.042,28,-87.913504,43.060975,209,0,1,0,0,0
"171",8.2,0.042,14,-118.683685,34.276316,307,0,0,0,0,1
"172",17.5,0.009,26,-119.8284,34.44551,18,0,0,0,0,1
"173",12.2,0.067,20,-119.716433,36.819449,112,0,0,0,0,0
"174",0.2,0.033,1,-76.283333,40.046667,107,0,0,1,0,1
"175",7.3,0.037,17,-102.5273,47.3132,664,1,0,0,1,0
"176",19.45,0.057,39.5,-111.93471,33.41123,357,0,0,0,0,0
"177",1.6,0.033,11,-90.587611,41.530011,222,0,0,0,0,0
